periode,skpd,kode_rekening,nama_rekening,sampai_hari_ini,nilai
4,DINAS KEBERSIHAN DAN PERTAMANAN,4.1.02.01.03,          B. RETRIBUSI  PELAYANAN PEMAKAMAN DAN PENGABUAN MAYAT,129166000.00 ,34436000.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.02.02.01,           A. RETRIBUSI SEWA TANAH DAN BANGUNAN,3194755335.00 ,171883390.00 
4, Dinas Pencegah dan Pemadam Kebakaran ,4.1.02.01.07.0001,              1. PEMERIKSAAN/PENG.ALAT PEMADAM KEBAKARAN,414850000.00 ,82200000.00 
4,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.01.0001,                 1.  SEWA TANAH DAN BANGUNAN ,858366192.00 ,286516812.00 
4,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PENATAAN RUANG",4.1.02.02.08,           B. RET. PENGGANTIAN BIAYA CETAK PETA ,794640.00 ,141900.00 
4,DINAS KESEHATAN,4.1.02.01.01,            A. RETRIBUSI PELAYANAN KESEHATAN DI PUSKESMAS,6095000.00 ,2465000.00 
4,DINAS PERDAGANGAN ,4.1.02.01.11,            A. RETRIBUSI PELAYANAN TERA / TERA ULANG ,166677400.00 ,80696000.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.05,  a. Penerimaan Jasa Giro,7832007574.00 ,2652453522.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.12,  b. Pendapatan Denda Pajak ,3502438481.00 ,895684366.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.1.04.15,  c. Pendapatan dan Pengembalian ,7809075942.03 ,5077647703.38 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0001,Bagi Hasil dari PBB (Sektor Pertambangan),2117086519.00 ,874102500.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0007,Bagi Hasil dari Penerimaan dari Sektor Pertambangan Panas Bumi,116869272.00 ,53549500.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0009,I. Bagi Hasil dari Penerimaan dari Sektor Mineral dan Batu Bara (Minerba),1109078950.00 ,581890250.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.01.0013,F. Bagi Hasil dari Penerimaan Pungutan Hasil Perikanan,567795850.00 ,169247850.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.04.0007,DAK Non Fisik-BOP PAUD,0.00 ,3815400000.00 
4,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,4.2.01.01.04.0008,DAK Non Fisik-BOP Pendidikan Kesetaraan,0.00 ,3541650000.00 
